Month,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,ada_start_date,price_open,price_close,volume_traded,doge_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,lisk_start_date,price_open,price_close,volume_traded,waves_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,sc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
January,2021-01-01T00:00:00.0000000Z,28959.4,33122,359063.1376,2021-01-01T00:00:00.0000000Z,737.35,1313.7,5912134.837,2021-01-01T00:00:00.0000000Z,124.45,129.68,3702311.961,2021-01-01T00:00:00.0000000Z,0.181702,0.345201,1809088580,2021-01-01T00:00:00.0000000Z,0.0046804,0.037,23559448056,2021-01-01T00:00:00.0000000Z,0.127619,0.307,1354089674,2021-01-01T00:00:00.0000000Z,0.21994,0.49561,2719720094,2021-01-01T00:00:00.0000000Z,1.144953,1.322039,1456412.338,2021-01-01T00:00:00.0000000Z,6.2,6.5927,6945475.195,2021-01-01T00:00:00.0000000Z,64.18,85.61,492595.6807,2021-01-01T00:00:00.0000000Z,0.00312,0.0074,3612022290,2021-01-01T00:00:00.0000000Z,1.0011,1.0008,2304394657,2021-01-01T00:00:00.0000000Z,99.72,102.245,503512.2448
February,2021-02-01T00:00:00.0000000Z,33121.8,45245.4,202353.1885,2021-02-01T00:00:00.0000000Z,1313.02,1422.7,3518318.778,2021-02-01T00:00:00.0000000Z,129.45,165.39,4147055.372,2021-02-01T00:00:00.0000000Z,0.345201,1.315604,2706574695,2021-02-01T00:00:00.0000000Z,0.0369461,0.0482549,20695748910,2021-02-01T00:00:00.0000000Z,0.307,0.406,868064165.6,2021-02-01T00:00:00.0000000Z,0.49576,0.41661,1665086039,2021-02-01T00:00:00.0000000Z,1.3,2.912001,5749559.589,2021-02-01T00:00:00.0000000Z,6.4876,8.8705,5635683.924,2021-02-01T00:00:00.0000000Z,85.35,111.34,531349.7764,2021-02-01T00:00:00.0000000Z,0.00744,0.00964,5393810127,2021-02-01T00:00:00.0000000Z,1.0008,1.0016,2414360517,2021-02-01T00:00:00.0000000Z,102.389,197.113,619023.1791
March,2021-03-01T00:00:00.0000000Z,45234.7,58786.2,171975.1415,2021-03-01T00:00:00.0000000Z,1422.47,1918.89,2015957.329,2021-03-01T00:00:00.0000000Z,165.48,196.81,2111955.466,2021-03-01T00:00:00.0000000Z,1.316434,1.19237,1524964467,2021-03-01T00:00:00.0000000Z,0.048308,0.0538292,3169104765,2021-03-01T00:00:00.0000000Z,0.406521,0.405683,300209307.3,2021-03-01T00:00:00.0000000Z,0.41662,0.56954,646929301,2021-03-01T00:00:00.0000000Z,2.938605,6.24,3541262.677,2021-03-01T00:00:00.0000000Z,9.0236,11.9979,1720525.038,2021-03-01T00:00:00.0000000Z,111.41,158.36,329561.3802,2021-03-01T00:00:00.0000000Z,0.00965,0.02585,6533422481,2021-03-01T00:00:00.0000000Z,1.0016,1.0004,3183256572,2021-03-01T00:00:00.0000000Z,197.2,222.759,178540.7675
April,2021-04-01T00:00:00.0000000Z,58780.4,57780,137564.848,2021-04-01T00:00:00.0000000Z,1919.47,2776.47,2635571.542,2021-04-01T00:00:00.0000000Z,196.96,271.55,3007818.356,2021-04-01T00:00:00.0000000Z,1.192458,1.354226,894478014.5,2021-04-01T00:00:00.0000000Z,0.0538285,0.3384562,14208367904,2021-04-01T00:00:00.0000000Z,0.405684,0.529969,566020783.4,2021-04-01T00:00:00.0000000Z,0.57029,1.60042,1613483171,2021-04-01T00:00:00.0000000Z,6.241653,5.449347,2431627.442,2021-04-01T00:00:00.0000000Z,11.9979,23.3121,3703859.163,2021-04-01T00:00:00.0000000Z,158.42,245.63,413598.0596,2021-04-01T00:00:00.0000000Z,0.02585,0.04077,12081528016,2021-04-01T00:00:00.0000000Z,1.0003,1.0011,4258523555,2021-04-01T00:00:00.0000000Z,222.419,320.197,337090.0744
May,2021-05-01T00:00:00.0000000Z,57780.3,37303.8,255223.0607,2021-05-01T00:00:00.0000000Z,2776.47,2705.69,4935638.901,2021-05-01T00:00:00.0000000Z,271.52,188.09,4110227.181,2021-05-01T00:00:00.0000000Z,1.354038,1.74,1946820594,2021-05-01T00:00:00.0000000Z,0.3382934,0.3258743,11065476281,2021-05-01T00:00:00.0000000Z,0.52997,0.4022,733135237.7,2021-05-01T00:00:00.0000000Z,1.60146,1.04118,1182085471,2021-05-01T00:00:00.0000000Z,5.43333,3.555353,5158677.445,2021-05-01T00:00:00.0000000Z,23.3321,13.8872,4334058.153,2021-05-01T00:00:00.0000000Z,245.77,162.41,641654.6053,2021-05-01T00:00:00.0000000Z,0.04075,0.01785,12427134962,2021-05-01T00:00:00.0000000Z,1.0011,1.0003,6342790895,2021-05-01T00:00:00.0000000Z,319.804,197.793,578456.6271
June,2021-06-01T00:00:00.0000000Z,37273.1,35046.2,195562.5828,2021-06-01T00:00:00.0000000Z,2705.26,2276.66,2414396.344,2021-06-01T00:00:00.0000000Z,188.06,144.17,1680385.119,2021-06-01T00:00:00.0000000Z,1.74,1.384683,907550695.3,2021-06-01T00:00:00.0000000Z,0.3254472,0.2542857,3318225735,2021-06-01T00:00:00.0000000Z,0.4022,0.284498,244792078.3,2021-06-01T00:00:00.0000000Z,1.04108,0.70304,342872879.2,2021-06-01T00:00:00.0000000Z,3.574444,2.671989,1605193.9,2021-06-01T00:00:00.0000000Z,13.7462,16.2969,2044321.212,2021-06-01T00:00:00.0000000Z,161.52,131.01,262564.745,2021-06-01T00:00:00.0000000Z,0.01785,0.0133,7034172763,2021-06-01T00:00:00.0000000Z,1.0003,1.0002,4274438324,2021-06-01T00:00:00.0000000Z,197.581,145.4,236027.7444
July,2021-07-01T00:00:00.0000000Z,35070.4,41488.5,109727.3835,2021-07-01T00:00:00.0000000Z,2276.89,2530.53,1516208.969,2021-07-01T00:00:00.0000000Z,144.24,144.43,987902.6645,2021-07-01T00:00:00.0000000Z,1.384918,1.318233,380910534.3,2021-07-01T00:00:00.0000000Z,0.2540556,0.207632,1808362870,2021-07-01T00:00:00.0000000Z,0.284141,0.284442,177855689.4,2021-07-01T00:00:00.0000000Z,0.70433,0.74644,253600223.9,2021-07-01T00:00:00.0000000Z,2.658453,3.222598,1296039.083,2021-07-01T00:00:00.0000000Z,16.1607,16.5839,786109.479,2021-07-01T00:00:00.0000000Z,130.58,111.18,218518.7238,2021-07-01T00:00:00.0000000Z,0.01331,0.015,5121808433,2021-07-01T00:00:00.0000000Z,1.0002,1.0007,3144923547,2021-07-01T00:00:00.0000000Z,145.409,163.74,175318.307
August,2021-08-01T00:00:00.0000000Z,41500.2,46107,43955.49178,2021-08-01T00:00:00.0000000Z,2532.73,3219.95,755119.0191,2021-08-01T00:00:00.0000000Z,144.46,177.03,412473.7748,2021-08-01T00:00:00.0000000Z,1.32026,1.84519,183030111.7,2021-08-01T00:00:00.0000000Z,0.2078887,0.2874181,1250353395,2021-08-01T00:00:00.0000000Z,0.284996,0.346739,81542131.77,2021-08-01T00:00:00.0000000Z,0.74644,1.03152,108076729.3,2021-08-01T00:00:00.0000000Z,3.189412,4.161496,1076154.566,2021-08-01T00:00:00.0000000Z,16.4712,19.4199,152295.8463,2021-08-01T00:00:00.0000000Z,111.34,141.23,90104.6594,2021-08-01T00:00:00.0000000Z,0.01499,0.01885,2067054418,2021-08-01T00:00:00.0000000Z,1.0008,1.0004,1626446411,2021-08-01T00:00:00.0000000Z,164.242,189.069,34005.46101
September,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0,2021-09-01T00:00:00.0000000,0,0,0
October,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0,2021-10-01T00:00:00.0000000Z,0,0,0
November,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0,2021-11-01T00:00:00.0000000Z,0,0,0
December,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0,2021-12-01T00:00:00.0000000Z,0,0,0
