time,btc_price_close_btc,eth_price_close,ltc_price_close,xlm_price_close,xrp_price_close,zec_price_close
2017-01-01T00:00:00.0000000Z,969.739,10.66911,4.12475,0.002149,0.006386,39.72103
2017-02-01T00:00:00.0000000Z,1180,15.63,3.77,0.00192,0.00654,36.87479
2017-03-01T00:00:00.0000000Z,1079.78,49.6975,7.07063,0.002282,0.005408,62.22333
2017-04-01T00:00:00.0000000Z,1350.717,78.367,15.65775,0.004805,0.02189,92.72201
2017-05-01T00:00:00.0000000Z,2291.301,228.5,25.78,0.034,0.249367,231.36099
2017-06-01T00:00:00.0000000Z,2445,280,39.04784,0.026694,0.244035,294.79606
2017-07-01T00:00:00.0000000Z,2876.133,201.7777,42.34721,0.016269,0.1651,174
2017-08-01T00:00:00.0000000Z,4737.27,388.003,73.3708,0.030204,0.26,290
2017-09-01T00:00:00.0000000Z,4344,302.2,55.65,0.031556,0.19903,277
2017-10-01T00:00:00.0000000Z,6430.5,304.12,55.47,0.0325,0.19906,234
2017-11-01T00:00:00.0000000Z,10088.5,439.25,87.59,0.05601,0.24,301.46
2017-12-01T00:00:00.0000000Z,13990,745.98,230.3,0.09212,1.99004,478.67
2018-01-01T00:00:00.0000000Z,10101.6,1105.3,162.3,0.01706,1.1202,393.93
2018-02-01T00:00:00.0000000Z,10310,850.1,201.84,0.330001,0.88697,380.3
2018-03-01T00:00:00.0000000Z,6911.1,392.4,115.84,0.203963,0.49841,184.13
2018-04-01T00:00:00.0000000Z,9243.2,669.57,148.38,0.424,0.83101,284.41
2018-05-01T00:00:00.0000000Z,7485.6,577.54,118.18,0.296636,0.61108,239.43
2018-06-01T00:00:00.0000000Z,6387.9,453.05,81.06,0.192017,0.46871,170.67
2018-07-01T00:00:00.0000000Z,7726,431.67,78.75,0.275147,0.43454,209.23
2018-08-01T00:00:00.0000000Z,7015.8,281.6,62.16,0.223409,0.335,150.01
2018-09-01T00:00:00.0000000Z,6604.1,231.96,60.96,0.25967,0.5792,129.87
2018-10-01T00:00:00.0000000Z,6307.5,196.88,49.42,0.224888,0.45,115.16
2018-11-01T00:00:00.0000000Z,3969.4,111.64,31.65,0.156732,0.35869,79.44
2018-12-01T00:00:00.0000000Z,3691.9,130.86,29.77,0.10932,0.34785,55.02
2019-01-01T00:00:00.0000000Z,3409.6,105.69,31.18,0.080864,0.30649,48.67
2019-02-01T00:00:00.0000000Z,3793.7,134.52,45.35,0.083897,0.31267,50.85
2019-03-01T00:00:00.0000000Z,4095.2,141.29,60.29,0.107759,0.30811,58.18
2019-04-01T00:00:00.0000000Z,5272.2,160.36,73.51,0.099763,0.30511,60.03
2019-05-01T00:00:00.0000000Z,8552.9,267.56,114.64,0.133041,0.43844,90.56
2019-06-01T00:00:00.0000000Z,10752.3,289.5,122,0.103835,0.39216,102.11
2019-07-01T00:00:00.0000000Z,10090.1,218.68,98.85,0.08374,0.31997,67.82
2019-08-01T00:00:00.0000000Z,9604.3,171.92,64.29,0.062099,0.25799,44.87
2019-09-01T00:00:00.0000000Z,8310,181.53,56.12,0.06193,0.25674,38.84
2019-10-01T00:00:00.0000000Z,9146.7,182.45,58.41,0.06488,0.2946,37.42
2019-11-01T00:00:00.0000000Z,7558.9,151.74,47.23,0.057313,0.22594,29.02
2019-12-01T00:00:00.0000000Z,7168.3,128.59,41.15,0.0447,0.1926,27.41
2020-01-01T00:00:00.0000000Z,9339.3,179.68,67.76,0.060831,0.2389,66.2
2020-02-01T00:00:00.0000000Z,8529.1,217.78,58.13,0.056963,0.22883,49
2020-03-01T00:00:00.0000000Z,6422.1,133.1,39.25,0.040939,0.17374,30.93
2020-04-01T00:00:00.0000000Z,8629.6,206.2,46.37,0.067277,0.21178,44.61
2020-05-01T00:00:00.0000000Z,9447.4,231.76,45.59,0.070787,0.20239,51.77
2020-06-01T00:00:00.0000000Z,9133.9,225.68,41.25,0.066922,0.17538,51.51
2020-07-01T00:00:00.0000000Z,11356.2,347,58.29,0.096714,0.26013,74.36
2020-08-01T00:00:00.0000000Z,11656.9,433.98,60.97,0.096914,0.28132,78.72
2020-09-01T00:00:00.0000000Z,10774.9,359.69,46.24,0.0746,0.24184,63.94
2020-10-01T00:00:00.0000000Z,13809.1,386.81,55.82,0.077742,0.23999,58.12
2020-11-01T00:00:00.0000000Z,19708.1,616.65,87.67,0.203011,0.66415,78.96
2020-12-01T00:00:00.0000000Z,28959.2,737.45,124.55,0.127627,0.2195,63.89
2021-01-01T00:00:00.0000000Z,33122,1313.7,129.68,0.307,0.49561,85.61
2021-02-01T00:00:00.0000000Z,45245.4,1422.7,165.39,0.406,0.41661,111.34
2021-03-01T00:00:00.0000000Z,58786.2,1918.89,196.81,0.405683,0.56954,158.36
2021-04-01T00:00:00.0000000Z,57780,2776.47,271.55,0.529969,1.60042,245.63
2021-05-01T00:00:00.0000000Z,37303.8,2705.69,188.09,0.4022,1.04118,162.41
2021-06-01T00:00:00.0000000Z,35046.2,2276.66,144.17,0.284498,0.70304,131.01
2021-07-01T00:00:00.0000000Z,41488.5,2530.53,144.43,0.284442,0.74644,111.18
2021-08-01T00:00:00.0000000Z,46107,3219.95,177.03,0.346739,1.03152,141.23