,btc_start_date,price_open,price_close,volume_traded,eth_start_date,price_open,price_close,volume_traded,ltc_start_date,price_open,price_close,volume_traded,usdt_start_date,price_open,price_close,volume_traded,xlm_start_date,price_open,price_close,volume_traded,xrp_start_date,price_open,price_close,volume_traded,zec_start_date,price_open,price_close,volume_traded,dash_start_date,price_open,price_close,volume_traded
0,,,,,,,,,,,,,2017-04-01T00:00:00.0000000Z,1.0009,0.935,5356883.50856883,2017-01-01T00:00:00.0000000Z,0.00225,0.002149,13705314.60128674,2017-05-01T00:00:00.0000000Z,0.332105,0.249367,122281928.75995971,,,,,2017-04-01T00:00:00.0000000Z,71.51334,92.82983,9150.94674848
1,,,,,,,,,,,,,2017-05-01T00:00:00.0000000Z,0.9351,1.0571,5546006.14659072,2017-02-01T00:00:00.0000000Z,0.002298,0.00192,13727735.56192263,2017-06-01T00:00:00.0000000Z,0.246133,0.244035,183678603.73639855,,,,,2017-05-01T00:00:00.0000000Z,90.02437,137.37001,60526.73150317
2,,,,,,,,,,,,,2017-06-01T00:00:00.0000000Z,1.05,1.0061,12866885.88907651,2017-03-01T00:00:00.0000000Z,0.001833,0.002282,79348965.77807531,2017-07-01T00:00:00.0000000Z,0.246792,0.1651,233919484.1867396,2017-01-01T00:00:00.0000000Z,48.0,39.72103,4937.52376119,2017-06-01T00:00:00.0000000Z,140.64014,174.73788,62989.83025877
3,,,,,2017-01-01T00:00:00.0000000Z,8.09999,10.66911,890222.19608159,,,,,2017-07-01T00:00:00.0000000Z,1.0144,1.0025,22041480.23083514,2017-04-01T00:00:00.0000000Z,0.002278,0.004805,82106114.72977802,2017-08-01T00:00:00.0000000Z,0.165299,0.26,438200607.36429054,2017-02-01T00:00:00.0000000Z,39.04901,36.87479,6424.26270077,2017-07-01T00:00:00.0000000Z,179.97646,178.5,81831.26943358
4,,,,,2017-02-01T00:00:00.0000000Z,10.75997,15.63,997873.77262309,,,,,2017-08-01T00:00:00.0000000Z,1.004,1.0046,19335339.5990358,2017-05-01T00:00:00.0000000Z,0.004805,0.034,720767962.477544,2017-09-01T00:00:00.0000000Z,0.259995,0.19903,301335988.42768914,2017-03-01T00:00:00.0000000Z,36.91646,62.22333,25896.17726992,2017-08-01T00:00:00.0000000Z,178.5,387.182,61795.47449927
5,,,,,2017-03-01T00:00:00.0000000Z,15.62999,49.6975,3386529.6311741,,,,,2017-09-01T00:00:00.0000000Z,1.0033,0.9998,23008649.60473766,2017-06-01T00:00:00.0000000Z,0.034,0.026694,209614446.9136031,2017-10-01T00:00:00.0000000Z,0.19904,0.19906,318538449.1595568,2017-04-01T00:00:00.0000000Z,63.43361,92.72201,25668.89972668,2017-09-01T00:00:00.0000000Z,386.0,330.0,55804.81755363
6,,,,,2017-04-01T00:00:00.0000000Z,49.69,78.367,1165796.97039053,,,,,2017-10-01T00:00:00.0000000Z,0.9998,0.9999,30470689.9308768,2017-07-01T00:00:00.0000000Z,0.026505,0.016269,230938509.66055837,2017-11-01T00:00:00.0000000Z,0.19901,0.24,282110922.8692642,2017-05-01T00:00:00.0000000Z,92.72694,231.36099,66842.63633707,2017-10-01T00:00:00.0000000Z,328.124,279.38,28518.58534445
7,,,,,2017-05-01T00:00:00.0000000Z,78.36667,228.5,3020777.26615179,,,,,2017-11-01T00:00:00.0000000Z,0.999,1.0067,24823706.40948579,,,,,2017-12-01T00:00:00.0000000Z,0.24,1.99004,578525713.2072203,2017-06-01T00:00:00.0000000Z,233.11487,294.79606,67319.61503618,2017-11-01T00:00:00.0000000Z,279.0,779.852,72057.46362545
8,,,,,2017-06-01T00:00:00.0000000Z,227.40051,280.0,2827969.55089797,,,,,2017-12-01T00:00:00.0000000Z,1.0095,1.019,60404851.56396852,,,,,,,,,2017-07-01T00:00:00.0000000Z,294.79606,174.0,62711.62666939,2017-12-01T00:00:00.0000000Z,779.0,1027.191,57779.23534492
9,,,,,2017-07-01T00:00:00.0000000Z,280.9999,201.7777,4388107.3970809,,,,,,,,,,,,,,,,,2017-08-01T00:00:00.0000000Z,174.0,290.0,57751.9595006,,,,
10,,,,,2017-08-01T00:00:00.0000000Z,201.7777,388.003,2348182.50404785,,,,,,,,,,,,,,,,,2017-09-01T00:00:00.0000000Z,292.959,277.0,96832.63923931,,,,
11,,,,,2017-09-01T00:00:00.0000000Z,388.649,302.2,2726662.16216501,2017-01-01T00:00:00.0000000Z,4.37999,4.12475,79997.19102745,,,,,,,,,,,,,2017-10-01T00:00:00.0000000Z,278.38,234.0,67449.0778272,,,,
12,2017-01-01T00:00:00.0000000Z,968.75,969.739,86944.74851191,2017-10-01T00:00:00.0000000Z,302.19,304.12,598233.57449915,2017-02-01T00:00:00.0000000Z,4.11786,3.77,70749.80383607,,,,,,,,,,,,,2017-11-01T00:00:00.0000000Z,234.0,301.46,98410.43756108,,,,
13,2017-02-01T00:00:00.0000000Z,968.166,1180.0,61053.17522179,2017-11-01T00:00:00.0000000Z,304.11,439.25,1698386.04787808,2017-03-01T00:00:00.0000000Z,3.77,7.07063,370887.49690087,,,,,,,,,,,,,2017-12-01T00:00:00.0000000Z,300.71,478.67,115147.83256808,,,,
14,2017-03-01T00:00:00.0000000Z,1181.998,1079.78,114427.90559524,2017-12-01T00:00:00.0000000Z,438.56,745.98,979584.10284372,2017-04-01T00:00:00.0000000Z,7.07042,15.65775,1107305.72130465,,,,,,,,,,,,,,,,,,,,
15,2017-04-01T00:00:00.0000000Z,1080.03,1350.717,65383.51623995,,,,,2017-05-01T00:00:00.0000000Z,15.66061,25.78,1706270.4882771,,,,,,,,,,,,,,,,,,,,
16,2017-05-01T00:00:00.0000000Z,1344.601,2291.301,221472.6392975,,,,,2017-06-01T00:00:00.0000000Z,25.79808,39.04784,1427534.15944613,,,,,,,,,,,,,,,,,,,,
17,2017-06-01T00:00:00.0000000Z,2291.301,2445.0,214516.22790491,,,,,2017-07-01T00:00:00.0000000Z,39.04785,42.34721,2015750.93445261,,,,,,,,,,,,,,,,,,,,
18,2017-07-01T00:00:00.0000000Z,2443.36,2876.133,260245.31788653,,,,,2017-08-01T00:00:00.0000000Z,42.456,73.3708,1220401.98793173,,,,,,,,,,,,,,,,,,,,
19,2017-08-01T00:00:00.0000000Z,2876.133,4737.27,228405.86180082,,,,,2017-09-01T00:00:00.0000000Z,73.3708,55.65,2179055.17684485,,,,,,,,,,,,,,,,,,,,
20,2017-09-01T00:00:00.0000000Z,4737.02,4344.0,205468.18517438,,,,,2017-10-01T00:00:00.0000000Z,55.56,55.47,799077.84726983,,,,,,,,,,,,,,,,,,,,
21,2017-10-01T00:00:00.0000000Z,4343.9,6430.5,91987.22663715,,,,,2017-11-01T00:00:00.0000000Z,55.44,87.59,1159555.24358362,,,,,,,,,,,,,,,,,,,,
22,2017-11-01T00:00:00.0000000Z,6442.3,10088.5,159007.77124597,,,,,2017-12-01T00:00:00.0000000Z,87.58,230.3,1108775.68695991,,,,,,,,,,,,,,,,,,,,
23,2017-12-01T00:00:00.0000000Z,10087.8,13990.0,129092.02069469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
